FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,Lcontext_Soil,Lcontext_Timber,Lcontext_Nature,Lcontext_OR_NR,Lcontext_Student,Lcontent_STEM,Lcontent_Food,Lcontent_Sustainability,Lcontent_SocialStudies,Lcontent_Art,Lcontent_PhysEd,Lcontent_SocioEmotional,Lcontent_Careers,Lcontent_ORStudies,InsStrat_Multimodal,InsStrat_Collab,InsStrat_LearnerCntrd,InsStrat_Investigative,InsStrat_Reflective,InsStrat_Relevance,InsStrat_Interdisc,Support_HS,Support_Trained,Support_NR,Support_CommOrg,Instruction_HS,Instruction_Trained,Instruction_NR,Instruction_CommOrg,Underresource_Rural,Underresource_LowSES,Underresource_AIAN,Underresource_Asian,Underresource_PI,Underresource_Black,Underresource_Latinx,Underresource_MENA,Underresource_LGBTQ,,,
38,-122.522326,45.504387,Arthur Academy,Multnomah,David Douglas SD 40,Multnomah,41024,State Senate District 24,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41047,State House District 47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-122.7941699,45.49376767,Arts and Communication Magnet Academy,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-123.115773,44.03561521,Arts and Technology Academy at Jefferson,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-123.2115629,44.8611152,Ash Creek Elementary School,Willamette,Central SD 13J,Polk,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41020,State House District 20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,-122.688146,42.19244857,Ashland Middle School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,10,4,5,9,10,8,6,9,7,5,10,10,3,5,10,10,10,10,9,8,10,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,
43,-120.6970172,44.6621623,Ashwood Elementary School,Jefferson,Ashwood SD 8,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-122.7297973,45.57824845,Astor K-8 School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,-123.8314739,46.17959284,Astoria Middle School,Northwest Regional,Astoria SD 1,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,-118.4874341,45.80935321,Athena Elementary School,InterMountain,Athena-Weston SD 29RJ,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-122.706091,45.37822598,Athey Creek Middle School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-122.604683,45.50532254,Atkinson Elementary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-122.971136,44.93639252,Auburn Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41021,State House District 21,1,10,9,9,10,9,10,9,9,8,6,8,9,8,9,10,10,9,9,8,10,9,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,
50,-122.875899,44.84789199,Aumsville Elementary School,Willamette,Cascade SD 5,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-123.137993,44.12424247,Awbrey Park Elementary School,Lane,Eugene SD 4J,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41013,State House District 13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,-124.2785076,42.05761552,Azalea Middle School,South Coast,Brookings-Harbor SD 17C,Curry,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-117.8356303,44.77711746,Baker Middle School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
