FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,participation,ODS_Provider,Location,No 5th Grade,No 6th Grade,Number_Attending,Days,Days+Nights,Cost Per Student,Total Request,Fall 5th Grad,Fall 6th Grade,Percent 5th,Percent 6th
49,-122.971136,44.93639252,Auburn Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41021,State House District 21,,No,,,,,,,,,,123,0,,
50,-122.875899,44.84789199,Aumsville Elementary School,Willamette,Cascade SD 5,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,,No,,,,,,,,,,80,0,,
51,-123.137993,44.12424247,Awbrey Park Elementary School,Lane,Eugene SD 4J,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41013,State House District 13,,No,,,,,,,,,,62,0,,
52,-124.2785076,42.05761552,Azalea Middle School,South Coast,Brookings-Harbor SD 17C,Curry,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,,No,,,,,,,,,,0,119,,
53,-117.8356303,44.77711746,Baker Middle School,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,,No,,,,,,,,,,,,,
54,-122.6728004,45.25941251,Baker Prairie Middle School,Clackamas,Canby SD 86,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,,No,,,,,,,,,,,,,
55,-117.8343713,44.77760881,Baker Web Academy,InterMountain,Baker SD 5J,Baker,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,1,Yes,Unsure,"Bend, Oregon",18,19,37,5,4-May,372,13764,97,107,18.55670103,17.75700935
56,-123.1130324,45.61226829,Banks Elementary School,Northwest Regional,Banks SD 13,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,1,Yes,NWRESD,Camp Westwind,83,0,83,4,3-Apr,261.09,21670.47,83,0,100,#DIV/0!
57,-123.1144309,45.61340153,Banks Middle School,Northwest Regional,Banks SD 13,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,,No,,,,,,,,,,0,80,,
58,-120.8247969,44.30747826,Barnes Butte Elementary,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,,No,,,,,,,,,,107,0,,
59,-122.818588,45.50614799,Barnes Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,,No,,,,,,,,,,95,0,,
60,-123.0261735,44.86408046,Battle Creek Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,,No,,,,,,,,,,87,0,,
61,-122.6855033,45.5583802,Beach Elementary School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,,No,,,,,,,,,,68,0,,
62,-121.2873272,44.05118304,Bear Creek Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,1,Yes,Camp Tamarack,Camp Tamarack,92,0,92,3,2-Mar,182.6,16799.2,105,0,87.61904762,#DIV/0!
63,-122.620947,45.54886598,Beaumont Middle School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41045,State House District 45,1,Yes,US,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu",0,181,181,6,5-Jun,416.04,75303.24,0,197,#DIV/0!,91.87817259
